entityId|creationTm|_epk|nation|stage|winner|carFede|carBomber|weather|time|seasonID|rallyID|stageProgrInRally
240|2019-06-08T01:30:27.88|211-238-1|[6,Italy]|[104,Italy-1]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|238|1
241|2019-06-08T01:30:27.881|211-238-2|[6,Italy]|[105,Italy-2]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|238|2
242|2019-06-08T01:30:27.881|211-238-3|[6,Italy]|[106,Italy-3]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|238|3
244|2019-06-08T01:51:24.396|211-243-0|[7,Poland]|[108,Poland-0]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|243|0
245|2019-06-08T01:51:24.397|211-243-1|[7,Poland]|[109,Poland-1]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|243|1
246|2019-06-08T01:51:24.397|211-243-2|[7,Poland]|[110,Poland-2]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|243|2
247|2019-06-08T01:51:24.398|211-243-3|[7,Poland]|[111,Poland-3]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|243|3
249|2019-06-08T02:14:18.763|211-248-0|[8,Finland]|[113,Finland-0]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|248|0
250|2019-06-08T02:14:18.764|211-248-1|[8,Finland]|[114,Finland-1]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|248|1
251|2019-06-08T02:14:18.764|211-248-2|[8,Finland]|[115,Finland-2]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|248|2
252|2019-06-08T02:14:18.765|211-248-3|[8,Finland]|[116,Finland-3]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|248|3
254|2019-06-08T02:49:23.042|211-253-0|[9,Germany]|[118,Germany-0]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|253|0
255|2019-06-08T02:49:23.043|211-253-1|[9,Germany]|[119,Germany-1]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|253|1
256|2019-06-08T02:49:23.044|211-253-2|[9,Germany]|[120,Germany-2]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|253|2
257|2019-06-08T02:49:23.044|211-253-3|[9,Germany]|[121,Germany-3]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|253|3
261|2019-06-09T18:52:46.429|211-260-0|[10,China]|[123,China-0]|FEDE|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|260|0
262|2019-06-09T18:52:46.429|211-260-1|[10,China]|[124,China-1]|BOMBER|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|260|1
263|2019-06-09T18:52:46.43|211-260-2|[10,China]|[125,China-2]|BOMBER|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|260|2
264|2019-06-09T18:52:46.43|211-260-3|[10,China]|[123,China-0]|BOMBER|[75,Citroen DS 3]|[75,Citroen DS 3]|CLEAR_SKY|DAWN|211|260|3
266|2019-06-09T19:08:40.395|211-265-0|[11,France]|[126,France-0]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|265|0
267|2019-06-09T19:08:40.396|211-265-1|[11,France]|[127,France-1]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|265|1
268|2019-06-09T19:08:40.396|211-265-2|[11,France]|[128,France-2]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|265|2
269|2019-06-09T19:08:40.396|211-265-3|[11,France]|[129,France-3]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|265|3
271|2019-06-09T22:20:32.154|211-270-0|[12,Spain]|[130,Spain-0]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|270|0
272|2019-06-09T22:20:32.155|211-270-1|[12,Spain]|[131,Spain-1]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|270|1
273|2019-06-09T22:20:32.155|211-270-2|[12,Spain]|[132,Spain-2]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|270|2
274|2019-06-09T22:20:32.155|211-270-3|[12,Spain]|[133,Spain-3]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|270|3
275|2019-06-09T22:20:32.156|211-270-4|[12,Spain]|[134,Spain-4]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|270|4
278|2019-06-09T22:57:35.131|276-277-0|[1,Monaco]|[78,Monaco-0]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|276|277|0
279|2019-06-09T22:57:35.131|276-277-1|[1,Monaco]|[79,Monaco-1]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|276|277|1
280|2019-06-09T22:57:35.132|276-277-2|[1,Monaco]|[80,Monaco-2]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|276|277|2
